"","species","centroid.distance","I.obs","I.res.s","I.res.w","p.similar","migStatus"
"94","Chaetocercus jourdanii",NA,NA,NA,NA,NA,"1"
"95","Chaetocercus mulsant",366811.341490714,0.512348714783021,0.542381505744805,0.454574932936388,0.0792079207920792,"1"
"96","Chalcostigma herrani",12757.6668784698,0.547217859525829,0.517116089595081,0.463095901082821,0.0198019801980198,"1"
"97","Chalcostigma heteropogon",NA,NA,NA,NA,NA,"1"
"98","Chalcostigma olivaceum",NA,NA,NA,NA,NA,"1"
"99","Chalcostigma ruficeps",105510.139661633,0.488679899253097,0.572269002431659,0.629791187784794,0.237623762376238,"1"
"100","Chalcostigma stanleyi",156004.17656951,0.527984962046465,0.5710007701678,0.580794407306431,0.158415841584158,"1"
"101","Chalybura buffonii",127493.888402618,0.583285515544065,0.567206078918582,0.615750970636481,0.0198019801980198,"1"
"102","Chalybura urochrysia",24790.6207042932,0.719916158149717,0.708163697046606,0.735660471021115,0.0198019801980198,"1"
"103","Chlorestes notata",180688.655807569,0.705313409631884,0.801368106272185,0.731941276853571,0.0198019801980198,NA
"104","Chlorostilbon assimilis",66255.1368012952,0.6498392377685,0.628816943433241,0.582816566626606,0.0198019801980198,"1"
"105","Chlorostilbon auriceps",46721.4059939507,0.520913463941805,0.538046740120598,0.492204162754878,0.0198019801980198,"1"
"106","Chlorostilbon bracei",NA,NA,NA,NA,NA,"1"
"107","Chlorostilbon canivetii",80998.8449523233,0.520420492848084,0.524982025513444,0.504210122379182,0.0198019801980198,"1"
"108","Chlorostilbon elegans",NA,NA,NA,NA,NA,"1"
"109","Chlorostilbon forficatus",3517.45602344222,0.668640258044495,0.638269659579272,0.669078709401837,0.099009900990099,"1"
"110","Chlorostilbon gibsoni",192819.945943467,0.581803110311593,0.609093250848481,0.591942286885363,0.0198019801980198,"1"
"111","Chlorostilbon lucidus",736690.639888462,0.447810610660819,0.410567612239509,0.418455122832313,0.0198019801980198,"1"
"112","Chlorostilbon maugaeus",2646.81426642588,0.633145080508177,0.673013481435785,0.721495886723298,0.0198019801980198,"1"
"113","Chlorostilbon melanorhynchus",79147.3450172929,0.679501387830795,0.732629689238102,0.628048519660261,0.0198019801980198,NA
"114","Chlorostilbon mellisugus",304652.423852699,0.550240517868837,0.494732468297603,0.557419608105209,0.0198019801980198,"1"
"115","Chlorostilbon notatus",NA,NA,NA,NA,NA,"1"
"116","Chlorostilbon olivaresi",NA,NA,NA,NA,NA,"1"
"117","Chlorostilbon poortmani",NA,NA,NA,NA,NA,"1"
"118","Chlorostilbon ricordii",146374.436852617,0.492011244643037,0.497679750244826,0.49300996810954,0.0198019801980198,"1"
